Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PPG RATIO
Edmond Sumner,PG,BKN,0.2415687017512461,0.22503741850794037,0.6548353649043922,-0.28596271347138524,-0.4105363609254292,-0.24110005659320866,-0.3382531571627423,-0.32024355843918134,-0.013907300605501733,-0.3893557094848722,-0.4027443501325985,0.2988479937501375,0.29489109838156274,0.12080525904649672,0.9310167608000862,-0.6500193707266863,-0.5976736968276435,-0.6363014064264595,-0.33149941230554464,-0.1367061839176995,-0.03798680120360688,-0.4084122742117659,7.132075471698113
Alex Caruso,SG,CHI,0.7027453141854432,0.7926506738385382,0.6548353649043922,0.7489097355757254,0.6316629650140424,-0.25012294070137664,-0.30111098666521247,-0.2697707577209908,-0.06805810024373499,0.02352780671689425,0.017301905282577502,0.35654596073324735,-0.17632432286427646,-0.21194794661672883,0.4227800860873669,-0.09583945588102617,0.07406582522356871,0.02655752257675053,0.6952444489626907,0.3723062030099052,2.404765908735834,0.9575392357161009,5.582089552238806
Josh Christopher,SG,HOU,-1.1419611355513453,0.6710192619819815,-0.5270464615408457,1.7837821846228359,-0.3484415488460994,-0.25463438275546063,-0.15873266642468142,-0.14210426178674415,0.02219323248665355,-0.5613905079022748,-0.3896179046508743,-0.5666215109965135,-0.3412497203003202,-0.33554199443449834,0.1523422224787642,-0.5162518050742856,-0.7121747517227364,-0.6816250938796704,-0.2904296578548152,0.05181692235178372,0.03493119013786896,-0.2186967867217844,5.8125
Wenyen Gabriel,F,LAL,0.010980395534147511,0.8331944777907238,0.9329252064209188,0.5271513536370588,-0.05336700184512426,-0.25463438275546063,-0.14635194292550482,-0.3469644529370469,1.2044856912547435,-0.7506287861614178,-0.737468709916567,-0.2637071843351857,-0.2587870215822983,-0.10736836769400081,-0.4584743315337698,1.31827480958721,0.19620028377833454,0.5364490064253736,-0.5943458407902129,-0.2121154264254928,-0.22028177955729647,0.5401651632381416,5.470588235294118
Delon Wright,SG,WAS,1.1639219266196403,0.10340600665138369,0.16817814225047073,0.009715129113503505,0.19178331624406994,-0.26140154583658665,-0.251588092668506,-0.2549258163332877,0.1034194319440031,-0.2173209110674695,-0.19272122242501052,0.21951328914836102,-0.2587870215822983,-0.33554199443449834,0.6978806714823251,0.20991497989588975,-0.170203091885963,-0.06408985232967135,0.7034583998528365,-0.24982004767938945,2.186011934711406,-0.1428105917257918,7.38
JaMychal Green,F,GSW,1.394510232836739,0.3872126343166826,0.4462679837669973,0.23147351105217007,-0.33540163830944014,-0.2681687089177126,-0.26396881616768264,-0.3707163591573719,0.6990782279645675,-0.20011743122572923,-0.24522700435190753,0.45751740295368987,-0.2587870215822983,-0.26899135330185325,0.27357298892399967,0.47745011120069114,-0.08623565162956147,0.07754667096161284,-0.4711365774380246,-0.09900156266380286,-0.2567407752280344,0.084847993262186,6.421052631578948
Goran Dragic,PG,MIL,2.316863457705133,0.42775643826886817,0.23770060262960238,0.5271513536370588,-0.2443706438011427,-0.27042442994475463,-0.2330170074197411,-0.12429033212150044,-0.3749126315270559,-0.02808263280832655,-0.02207743116259525,0.32048473136880357,-0.5061751177363639,-0.4781505111473093,-0.13208380648890403,-0.5926904140185145,-0.6053071004873163,-0.6249704845631567,0.3502585115765636,0.10837385423262869,-0.6942487232768895,-0.6360708591997437,6.293103448275862
John Konchar,SG,MEM,0.2415687017512461,0.995369693599466,1.489104889453972,0.23147351105217007,0.530324231700576,-0.2726801509717966,-0.251588092668506,-0.16882515628460973,-0.28466129879666735,0.10954520592559559,0.18794569654499277,0.1762398139110284,-0.5415162743298019,-0.5637156211749959,0.28289843249671026,0.3245728933122332,0.7763389619134723,0.6724200687850065,-0.06865298382087638,-0.3817862220680277,1.6391269996503375,0.1607341882581786,5.055555555555555
Nickeil Alexander-Walker,SG,MIN,-0.45019621690004963,0.4683002422210537,0.37674552338786566,0.4532318929908366,-0.22710828604308905,-0.27493587199883857,-0.29492062491562415,-0.24304986322312522,-0.1673345662471625,0.12674868576733586,0.06980768720947451,0.5007908781910225,-0.40015164795605007,-0.33554199443449834,-0.23466368578871902,-0.6118000662545717,-0.4450056236341861,-0.5116612659301294,-0.0029413766997093255,-0.0424446307829579,-0.0015278055328689605,0.008961798266193406,6.1525423728813555
Chris Duarte,SG,IND,-0.21960791068295105,-0.058769209157358546,-0.3184790804034508,0.23147351105217007,-0.21059106602998723,-0.2771915930258806,-0.3444435189123306,-0.1302283086765817,-0.8442195617250765,0.02352780671689425,0.16825602832240638,0.010358158834587152,-0.1527635518019845,-0.22145518106424958,0.6046262357552208,-0.5353614573103428,-0.3686715870374575,-0.43234481288701027,-0.3643552158661282,-0.3063769795602344,-0.2567407752280344,-0.4463553717097622,7.869565217391305
Dario Saric,PF,OKC,0.7027453141854432,0.3872126343166826,0.16817814225047073,0.5271513536370588,-0.3238520032626849,-0.2771915930258806,-0.31968207191397735,-0.29649165221885637,-0.04098270042461868,-0.14850699170050843,-0.218974113388459,0.551276599301244,-0.12920278073969255,-0.18342624327416665,0.5206972436008269,0.11436671871560353,0.07406582522356871,0.08887759282491557,-0.28221570696466936,-0.0424446307829579,-0.439035753581724,-0.5222415667057547,6.350877192982456
Steven Adams,C,MEM,0.7027453141854432,-0.22094442496610078,0.30722306300873403,-0.7294794773487183,0.08262063660860802,-0.27944731405292256,-0.1339712194263282,-0.33805748810442504,1.2135108245277824,-0.9226635845788205,-0.9671815058467413,-2.2687115369982607,-0.3176889492380282,0.32045718244443205,-1.6474683870543512,3.19102072872082,0.9671740534052939,1.6638757318239956,-0.09329483649131404,0.41001082426380187,0.1443081771500827,0.9575392357161009,8.595238095238095
Christian Braun,G,DEN,-0.9113728293342468,1.1575449094082082,1.7671947309704985,0.23147351105217007,0.14198327695644727,-0.2817030350799646,-0.22063628392056447,-0.260863792888369,0.29294723067781914,-0.3377452699596514,-0.3436753454648394,0.28442350200435973,-0.40015164795605007,-0.2975130566444154,-0.43049800081563844,0.018818457535317298,-0.08623565162956147,-0.058424391398019984,-0.4054249703168576,-0.4194908433219243,0.32660315550377234,-0.1428105917257918,4.7368421052631575
Nassir Little,SF,POR,-0.6807845231171482,0.26558122246012594,-0.10991169926605585,0.601070814283281,-0.11260545256880482,-0.28395875610700655,-0.2763495396668592,-0.21929795700280028,-0.18538483279323983,0.07513824624211506,0.06324446446861239,0.3781826983519139,-0.48261434667407194,-0.46864327669978856,-0.0015275964709579716,-0.3824842394218848,-0.23127032116334592,-0.2850428286640747,-0.4793505283281705,-0.400638532694976,-0.439035753581724,-0.02898129923180289,6.648148148148148
Isaiah Livers,PF,DET,-0.45019621690004963,0.1844936145557548,-0.9441812238156355,1.3402654207455027,0.16384065080837154,-0.3132831294585525,-0.3630146041610955,-0.2638327811659096,-0.41101316461921117,0.3503939237099593,0.358589487807408,0.36375820660613617,-0.4943947322052179,-0.5351939178324336,0.4833954693099846,-0.3633745871858276,-0.22363691750367304,-0.27371190680077195,-0.5532760863394834,-0.5137523964566659,-0.14736378821582063,0.2745634807521675,6.653846153846154
Landry Shamet,SG,PHX,0.010980395534147511,-0.3020320328704719,-0.3184790804034508,-0.21204325282516304,-0.32273429664525694,-0.3132831294585525,-0.4063471364082137,-0.22820492183542213,-0.7720184955407653,0.3675974035516996,0.33233659684395955,0.4503051570808015,-0.3412497203003202,-0.4211071044621849,0.7678214982776534,-0.6882386751988008,-0.6740077334243721,-0.7042869376062759,-0.12615064005189755,-0.400638532694976,-0.22028177955729647,-0.5981277617017474,8.65
Lamar Stevens,F,CLE,-0.21960791068295105,0.5899316540776104,1.0719701271791822,-0.06420433153271868,0.06672436471629965,-0.35388610794530845,-0.3073013484148008,-0.2638327811659096,-0.1312340331550072,-0.40655918932661245,-0.35023856820570154,0.010358158834587152,-0.40015164795605007,-0.36406369777706055,-0.07146842326628629,0.018818457535317298,0.11223284352193302,0.08887759282491557,-0.6189876934606505,-0.5703093283375109,-0.18382278388655857,-0.06692439672979919,5.290322580645161
Simone Fontecchio,F,UTA,0.2415687017512461,0.1844936145557548,0.09865568187133908,0.23147351105217007,-0.3737762321744661,-0.35388610794530845,-0.39396641290903706,-0.1925770625049347,-0.8442195617250765,0.1611556454508164,0.2798308149170625,0.11132960105502966,-0.45905357561178,-0.48765774559483005,0.3621647028647491,-0.3060456304776559,-0.681641137084045,-0.5966431799048999,-0.5450621354493376,-0.34408160081413103,-0.6213307319354135,-0.4842984692077585,6.3076923076923075
Mo Bamba,C,LAL,-0.45019621690004963,0.06286220269919814,0.09865568187133908,0.009715129113503505,-0.3705473019463409,-0.3651647130805184,-0.38158568940986043,-0.4033752302103187,0.20269589794743062,-0.09689655217528763,-0.15990510872069988,0.5224276158096891,-0.3883712624249041,-0.3165275255394569,-0.26264001650685076,0.20991497989588975,0.17330007279931595,0.1908558895946402,-0.5122063318887541,-0.5137523964566659,-0.6942487232768895,0.843709943222112,6.591836734693878
Yuta Watanabe,SF,BKN,0.47215700796834464,0.42775643826886817,0.4462679837669973,0.30539297169839225,-0.1725890410374375,-0.3674204341075604,-0.40015677465862537,-0.43009612470818426,0.25684669758566386,0.10954520592559559,-0.08770965857121651,0.933525630564348,-0.47083396114292597,-0.45913604225226784,0.02644873424717309,-0.3251552827137131,-0.2541705321423645,-0.2850428286640747,-0.4957784301084623,-0.6645708814722525,-0.2567407752280344,-0.1428105917257918,5.551724137931035
Chimezie Metu,PF,SAC,0.010980395534147511,0.7521068698863527,1.2110150479374453,0.0836345897597257,-0.4691538635283166,-0.3696761551346024,-0.3073013484148008,-0.4686929723162123,1.1413097583434713,-0.767832266003158,-0.7243422644348427,-0.5594092651236249,-0.23522625052000637,-0.21194794661672883,0.10571500461521198,-0.00029119470073994604,0.05116561424455011,0.037888444440053265,-0.5614900372296293,-0.4760477752027693,-0.36611776224024817,0.008961798266193406,4.863636363636363
